nit,fecha_corte,Patrimonio_Total,Activo_Total,Pasivo_Total,Tamano_Empresa,Razon_Endeudamiento,Insolvencia_Tecnica,Ano_Corte,Fuente,Pais_Matriz
800000090,2019-12-31,1334869.0,,,,,No,2019,SIREM - Supersociedades,COL
800000268,2019-12-31,1041906.0,,,,,No,2019,SIREM - Supersociedades,COL
800000276,2018-12-31,,161623087.0,,Grande,,No,2018,SIREM - Supersociedades,COL
800000276,2019-12-31,,161623087.0,,Grande,,No,2019,SIREM - Supersociedades,COL
800000296,2020-12-31,3621198.0,12215755.0,13991260.0,Mediana,1.1453454984976368,No,2020,SIREM - Supersociedades,COL
800000313,2021-12-31,,4397438.0,,Pequeña,,No,2021,SIREM - Supersociedades,COL
800000393,2019-12-31,1421779.0,,,,,No,2019,SIREM - Supersociedades,COL
800000439,2020-12-31,3049388.0,,,,,No,2020,SIREM - Supersociedades,COL
800000457,2018-12-31,,7032359.0,,Mediana,,No,2018,SIREM - Supersociedades,COL
800000513,2019-12-31,6412838.0,,,,,No,2019,SIREM - Supersociedades,COL
800000946,2016-12-31,,,248425658.0,,,No,2016,SIREM - Supersociedades,COL
800000946,2018-12-31,159285415.0,336494111.0,,Grande,,No,2018,SIREM - Supersociedades,COL
800001020,2016-12-31,20193161.0,,,,,No,2016,SIREM - Supersociedades,COL
800001020,2019-12-31,,,6618968.0,,,No,2019,SIREM - Supersociedades,COL
800001047,2016-12-31,,,1390757.0,,,No,2016,SIREM - Supersociedades,COL
800001047,2020-12-31,,4845351.0,,Pequeña,,No,2020,SIREM - Supersociedades,COL
800001075,2019-12-31,,49988975.0,,Grande,,No,2019,SIREM - Supersociedades,COL
800001161,2020-12-31,1678265.0,,,,,No,2020,SIREM - Supersociedades,COL
800001161,2021-12-31,,,3650290.0,,,No,2021,SIREM - Supersociedades,COL
800001204,2018-12-31,,,47697323.0,,,No,2018,SIREM - Supersociedades,COL
800001351,2018-12-31,,,31532416.0,,,No,2018,SIREM - Supersociedades,COL
800001792,2016-12-31,,,11527466.0,,,No,2016,SIREM - Supersociedades,COL
800001845,2016-12-31,27814254.0,,,,,No,2016,SIREM - Supersociedades,COL
800001845,2021-12-31,38843341.0,,8216535.0,,,No,2021,SIREM - Supersociedades,COL
800002030,2018-12-31,10208410.0,,,,,No,2018,SIREM - Supersociedades,COL
800002030,2020-12-31,,,4834197.0,,,No,2020,SIREM - Supersociedades,COL
800002143,2016-12-31,,,13981833.0,,,No,2016,SIREM - Supersociedades,COL
800002143,2019-12-31,,,9863017.0,,,No,2019,SIREM - Supersociedades,COL
800002143,2021-12-31,,38960154.0,,Mediana,,No,2021,SIREM - Supersociedades,COL
800002482,2018-12-31,,25342994.0,,Mediana,,No,2018,SIREM - Supersociedades,COL
